School,Name,Active,
141,ANDREW JACKSON MIDDLE SCHOOL,A,
61,APOLLO ELEMENTARY SCHOOL,A,
161,ASTRONAUT HIGH SCHOOL,A,
201,ATLANTIS ELEMENTARY SCHOOL,A,
4051,AUDUBON ELEMENTARY SCHOOL,A,
2211,BAYSIDE HIGH SCHOOL,A,
1012,BREVARD ADULT EDUCATION AT COCOA,A,
2072,BREVARD ADULT EDUCATION AT MELBOURNE,A,
2022,BREVARD ADULT EDUCATION AT PALM BAY,A,
82,BREVARD ADULT EDUCATION AT TITUSVILLE,A,
1010,BREVARD ADULT EDUCATION ONLINE ACADEMY,A,
527,BREVARD COUNTY ACCELERATION ACADEMIES,A,
1014,BREVARD COUNTY JAIL COMPLEX,A,
1025,BREVARD COUNTY JUVENILE DETENTION CENTER,A,
9001,BREVARD DISTRICT OFFICE,A,
7004,BREVARD VIRTUAL FRANCHISE,A,
1041,CAMBRIDGE ELEMENTARY MAGNET SCHOOL,A,
5031,CAPE VIEW ELEMENTARY SCHOOL,A,
3021,CENTRAL MIDDLE SCHOOL,A,
191,CHALLENGER 7 ELEMENTARY SCHOOL,A,
2161,CHRISTA MCAULIFFE ELEMENTARY SCHOOL,A,
5011,COCOA BEACH JUNIOR/SENIOR HIGH SCHOOL,A,
1121,COCOA HIGH SCHOOL,A,
2131,COLUMBIA ELEMENTARY SCHOOL,A,
9045,CONTRACTED RESIDENTIAL SERVICES,A,
91,COQUINA ELEMENTARY SCHOOL,A,
3091,CROTON ELEMENTARY SCHOOL,A,
6012,DELAURA MIDDLE SCHOOL,A,
1028,DEVEREUX HOSPITAL,A,
2151,DISCOVERY ELEMENTARY SCHOOL,A,
6141,DR. W.J. CREEL ELEMENTARY SCHOOL,A,
3011,EAU GALLIE HIGH SCHOOL,A,
4021,EDGEWOOD JR/SR HIGH SCHOOL,A,
6511,EDUCATIONAL HORIZONS CHARTER,A,
6523,EMMA JEWEL CHARTER ACADEMY,A,
1051,ENDEAVOUR ELEMENTARY SCHOOL,A,
301,ENTERPRISE ELEMENTARY SCHOOL,A,
1091,FAIRGLEN ELEMENTARY SCHOOL,A,
3900,FAMILY EMPOWERMENT SCHOLARSHIP PROGRAM (FEFP FUNDED),A,
3950,FAMILY EMPOWERMENT SCHOLARSHIP PROGRAM (NOT FEFP FUNDED),A,
5021,FREEDOM 7 ELEMENTARY SCHOOL OF INTERNATIONAL STUDIES,A,
89,GARDENDALE SEPARATE DAY SCHOOL,A,
6101,GEMINI ELEMENTARY SCHOOL,A,
1071,GOLFVIEW ELEMENTARY MAGNET SCHOOL,A,
1141,HANS CHRISTIAN ANDERSEN ELEMENTARY SCHOOL,A,
3061,HARBOR CITY ELEMENTARY SCHOOL,A,
6082,HERBERT C. HOOVER MIDDLE SCHOOL,A,
2311,HERITAGE HIGH SCHOOL,A,
9998,HOME EDUCATION PROGRAM STUDENTS,A,
6515,IMAGINE SCHOOLS AT WEST MELBOURNE,A,
151,IMPERIAL ESTATES ELEMENTARY SCHOOL,A,
6081,INDIALANTIC ELEMENTARY SCHOOL,A,
52,JAMES MADISON MIDDLE SCHOOL,A,
1101,JOHN F. KENNEDY MIDDLE SCHOOL,A,
2121,"JOHN F. TURNER, SENIOR ELEMENTARY SCHOOL",A,
2191,JUPITER ELEMENTARY SCHOOL,A,
4121,LEWIS CARROLL ELEMENTARY SCHOOL,A,
2111,LOCKMAR ELEMENTARY SCHOOL,A,
3131,LONGLEAF ELEMENTARY SCHOOL,A,
3031,LYNDON B. JOHNSON MIDDLE SCHOOL,A,
1161,MANATEE ELEMENTARY SCHOOL,A,
2031,MEADOWLANE INTERMEDIATE ELEMENTARY SCHOOL,A,
2041,MEADOWLANE PRIMARY ELEMENTARY SCHOOL,A,
2011,MELBOURNE SENIOR HIGH SCHOOL,A,
4011,MERRITT ISLAND HIGH SCHOOL,A,
9997,MIGRANT NON-ENROLLED STUDENTS,A,
4031,MILA ELEMENTARY SCHOOL,A,
101,MIMS ELEMENTARY SCHOOL,A,
51,OAK PARK ELEMENTARY SCHOOL,A,
6071,OCEAN BREEZE ELEMENTARY SCHOOL,A,
6507,ODYSSEY CHARTER SCHOOL,A,
6541,ODYSSEY PREPARATORY CHARTER ACADEMY,A,
6501,PALM BAY ACADEMY CHARTER SCHOOL,A,
2081,PALM BAY ELEMENTARY SCHOOL,A,
2021,PALM BAY MAGNET SENIOR HIGH SCHOOL,A,
3450,PERSONALIZED EDUCATION PROGRAM (PEP) (NOT FEFP FUNDED),A,
6543,PINEAPPLE COVE CLASSICAL ACADEMY,A,
6529,PINEAPPLE COVE CLASSICAL ACADEMY AT LOCKMAR,A,
6554,PINEAPPLE COVE CLASSICAL ACADEMY AT WEST MELBOURNE,A,
6558,PINECREST ACADEMY SPACE COAST,A,
181,PINEWOOD ELEMENTARY SCHOOL,A,
2061,PORT MALABAR ELEMENTARY SCHOOL,A,
1021,PRE-K ESE SERVICES,A,
1073,PROJECT SEARCH,A,
3151,QUEST ELEMENTARY SCHOOL,A,
1151,RALPH M WILLIAMS JUNIOR ELEMENTARY SCHOOL,A,
6521,RIVERSIDE CHARTER HIGH SCHOOL,A,
2171,RIVIERA ELEMENTARY SCHOOL,A,
4071,ROBERT L. STEVENSON ELEMENTARY SCHOOL,A,
1011,ROCKLEDGE SENIOR HIGH SCHOOL,A,
1081,RONALD MCNAIR MAGNET MIDDLE SCHOOL,A,
3101,ROY ALLEN ELEMENTARY SCHOOL,A,
6509,ROYAL PALM CHARTER SCHOOL,A,
3071,SABAL ELEMENTARY SCHOOL,A,
6011,SATELLITE SENIOR HIGH SCHOOL,A,
1131,SATURN ELEMENTARY SCHOOL,A,
6508,SCULPTOR CHARTER SCHOOL,A,
6051,SEA PARK ELEMENTARY SCHOOL,A,
3041,SHERWOOD ELEMENTARY SCHOOL,A,
1018,SOUTH AREA ALTERNATIVE LEARNING CENTER,A,
122,SOUTH LAKE ELEMENTARY,A,
2122,SOUTHWEST MIDDLE SCHOOL,A,
302,SPACE COAST JUNIOR/SENIOR HIGH SCHOOL,A,
6013,SPESSARD L. HOLLAND ELEMENTARY SCHOOL,A,
2071,STONE MAGNET MIDDLE SCHOOL,A,
2221,SUNRISE ELEMENTARY SCHOOL,A,
3121,SUNTREE ELEMENTARY SCHOOL,A,
6061,SURFSIDE ELEMENTARY SCHOOL,A,
5012,THEODORE ROOSEVELT ELEMENTARY SCHOOL,A,
4111,THOMAS JEFFERSON MIDDLE SCHOOL,A,
11,TITUSVILLE HIGH SCHOOL,A,
4041,TROPICAL ELEMENTARY SCHOOL,A,
2051,UNIVERSITY PARK ELEMENTARY SCHOOL,A,
6540,VIERA CHARTER SCHOOL,A,
3161,VIERA ELEMENTARY SCHOOL,A,
1171,VIERA HIGH SCHOOL,A,
3171,VIERA MIDDLE SCHOOL,A,
2042,W. MELBOURNE ELEMENTARY SCHOOL FOR SCIENCE,A,
3141,WEST SHORE JUNIOR/SENIOR HIGH SCHOOL,A,
2212,WESTSIDE ELEMENTARY SCHOOL,A,
9240,ADULT/COMMUNITY EDUCATION,C,
1019,ALTERNATIVE SCHOOL,C,
1003,BEHAVIORAL HEALTH SERVICES,C,
1103,BREVARD ACHIEVEMENT CENTER,C,
1002,BREVARD GROUP TREATMENT HOME,C,
7023,BREVARD VIRTUAL ESCHOOL,C,
7006,BREVARD VIRTUAL INSTRUCTION (COURSE OFFERINGS),C,
7001,BREVARD VIRTUAL INSTRUCTION PROGRAM,C,
1104,"BRIDGES BTC, INC",C,
6506,CAMPUS CHARTER SCHOOL,C,
1112,CENTRAL PINE GROVE ADULT EDUCATION,C,
