document_title
2026-2027 K-12 Feeder Plan (Revised 4.7.2026) — extracted from district PDF

School,"Varying
Exceptionalities","Varying Exceptionalities
Classroom - Instruction
in Alternate Academic
Achievement Standards
(VE-S)","Varying Exceptionalities
Classroom - Intensive,
Specialized Instruction in
Alternate Academic
Achievement Standards
(VE-P)","Varying Exceptionalities
Classroom with
Intensive, Specialized
Support for Emotional
and Behavioral Needs
(VE-B)","Separate Day
School","Deaf/Hard of Hearing
Classrooms (D/HH)","Visually Impaired
Cluster","Brevard Learners
Achieving Successful
Transition (post high
school; deferred
diploma) (BLAST)"
1141,N/A,1151,4031,3121,89,201,201,N/A
61,N/A,61,51,151,89,201,201,N/A
161,N/A,161,161,161,89,302,302,11
201,N/A,301,51,151,89,201,201,N/A
4051,N/A,4031*,4031,1091,89,201,201,N/A
2211,N/A,2211,2021,2211,89,2021,2021,2211
1041,N/A,1071,4031,1091,89,201,201,N/A
3021,N/A,3021,"7th
6141 (N of 192)
2111 (S of 192)
8th
3011 (N of 192)
2021 (S of 192)","3031 (N of 192)
2122 (S of 192)",89,3021,3021,N/A
191,N/A,301,51,151,89,201,201,N/A
5011,N/A,"4111 (N of PSFB)
4011","7th 4031
8th 1121","1101, 1011",89,302,302,4011
1121,N/A,"7-8 1101
9-12, 1121","7th 4031
8th 1121","1101, 302",89,302,302,1121
2131,N/A,2131,2111,2061,89,"2041, 2031","2041, 2031",N/A
91,N/A,61,51,151,89,201,201,N/A
3091,N/A,6141,6141,3071,89,"2041, 2031","2041, 2031",N/A
6012,N/A,6082,"7th 6141
8th 3011",3031,89,3021,3021,N/A
2151,N/A,2111,2111,2151,89,"2041, 2031","2041, 2031",N/A
6141,N/A,6141,6141,3071,89,"2041, 2031","2041, 2031",N/A
3011,N/A,3011,3011,2021,89,2021,2021,3011
1051,N/A,1071,4031,1091,89,201,201,N/A
301,N/A,301,51,151,89,201,201,N/A
1091,N/A,301,4031,1091,89,201,201,N/A
6101,N/A,6071,6141,3071,89,"2041, 2031","2041, 2031",N/A
1071,N/A,1071,4031,3121,89,201,201,N/A
3061,N/A,6141,6141,3071,89,"2041, 2031","2041, 2031",N/A
2311,N/A,2311,2021,2211,89,2021,2021,2311
6013,N/A,6071,6141,3121,89,"2041, 2031","2041, 2031",N/A
6082,N/A,"6082
DeLaura beachside
students to 6082","7th 6141
8th 3011",3031,89,"302 (N of
Pineda)
Central Middle (S of Pineda)","302 (N
of Pineda)
Central Middle (S of
Pineda)",N/A
151,N/A,61,51,151,89,201,201,N/A
6081,N/A,6071,6141,3071,89,"2041, 2031","2041, 2031",N/A
141,N/A,141,"7th 51
8th 161",302,89,302,302,N/A
4111,N/A,4111,"7th 4031
8th 1121",1101,89,302,302,N/A
3031,N/A,3031,"7th 6141
8th 3011",3031,89,3021,3021,N/A
2191,N/A,2111,2111,2151,89,"2041, 2031","2041, 2031",N/A
1101,N/A,1101,"7th 4031
8th 1121",1101,89,302,302,N/A
4121,N/A,4031,4031,1091,89,201,201,N/A
2111,N/A,2111,2111,2151,89,"2041, 2031","2041, 2031",N/A
3131,N/A,6141,6141,3121,89,"2041, 2031","2041, 2031",N/A
52,N/A,52,"7th 51
8th 161",302,89,302,302,N/A
1161,N/A,1151,4031,3121,89,201,201,N/A
2161,N/A,2121,2111,2151,89,"2041, 2031","2041, 2031",N/A
1081,N/A,1101,"7th 4031
8th 1121",1101,89,302,302,N/A
2031,N/A,2031,2111,2051,89,2031,2031,N/A
2041,N/A,2111,2111,2051,89,2041,2041,N/A
4011,N/A,4031,1121,1011,89,302,302,4011
2011,N/A,2011,3011,2021,89,2021,2021,"Eau Gallie Bayside
Heritage (Closest to
home address)"
4031,N/A,4031,4031,1091,89,201,201,N/A
101,N/A,51,51,101,89,201,201,N/A
51,N/A,51,51,101,89,201,201,N/A
6071,N/A,6071,6141,3071,89,"2041, 2031","2041, 2031",N/A
2081,N/A,2081,2111,"2051 (N. of Palm Bay Road
Port Malabar (S. of
Palm Bay Road)",89,"2041, 2031","2041, 2031",N/A
2021,N/A,2021,2021,2021,89,2021,2021,"Eau Gallie Bayside
Heritage (Closest to
home address)"
181,N/A,51,51,101,89,201,201,N/A
2061,N/A,2131,2111,2061,89,"2041, 2031","2041, 2031",N/A
3151,N/A,1151,6141,3121,89,"2041, 2031","2041, 2031",N/A
2171,N/A,2111,2111,2051,89,"2041, 2031","2041, 2031",N/A
1011,N/A,1011,1121,1011,89,302,302,"N. of Barton - Cocoa HS;
S. of Barton - Viera HS"
5012,N/A,*check student address,"6141 (S PSFB)
4031 (N PSFB)","1091 (N of PSFB
beachside)
3121 (PSFB)",89,201,201,N/A
3101,N/A,6141,6141,3071,89,"2041, 2031","2041, 2031",N/A
3071,N/A,6141,6141,3071,89,"2041, 2031","2041, 2031",N/A
6011,N/A,6011,3011,1011,89,2021,2021,3011
1131,N/A,"301, 1071",4031,1091,89,201,201,N/A
6051,N/A,6071,6141,3121,89,"2041, 2031","2041, 2031",N/A
3041,N/A,6141,6141,3071,89,"2041, 2031","2041, 2031",N/A
2122,N/A,2122,"7th 2111
8th 2021",2122,89,3021,3021,N/A
302,N/A,302,"7th 51
8th 161",302,89,302,302,"N of Kings Hwy.-Titusville
HS; S of
Kings Hwy-Cocoa HS"
2071,N/A,2071,"7th 2111
8th 2021",2122,89,3021,3021,N/A
2221,N/A,2221,2111,2061,89,"2041, 2031","2041, 2031",N/A
3121,N/A,6141,6141,3121,89,"2041, 2031","2041, 2031",N/A
6061,N/A,6071,6141,3071,89,"2041, 2031","2041, 2031",N/A
11,N/A,11,161,161,89,302,302,11
4041,N/A,4031,4031,1091,89,201,201,N/A
2121,N/A,2121,2111,2061,89,"2041, 2031","2041, 2031",N/A
2051,N/A,2081,2111,2051,89,"2041, 2031","2041, 2031",N/A
3161,N/A,1151,6141,3121,89,"2041, 2031","2041, 2031",N/A
1171,N/A,1171,"1121 (N of Wickham at
Suntree blvd)
3011 (S of Wickham at
Suntree Blvd)",1011,89,302,302,1171
3171,N/A,"3171
DeLaura mainland students
to 3171","N of Wickham at Suntree Blvd
7th - Mila ES
8th - Cocoa Jr/Sr HS
S of Wickham at Suntree Blvd
7th - Dr. WJ Creel ES
8th - Eau Gallie HS","Kennedy (N of Pineda
Causeway)
Johnson (S of Pineda
Causeway)",89,302,302,N/A
2212,N/A,2221,2111,2151,89,"2041, 2031","2041, 2031",N/A
1151,N/A,1151,4031,3121,89,201,201,N/A
